Age,Is_Senior,Marital_Status,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Safe_Driver_Discount,Multi_Policy_Discount,Bundling_Discount,Total_Discounts,Source_of_Lead,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Credit_Score,Premium_Adjustment_Credit,Region,Premium_Adjustment_Region
47,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,0,0,0,0,Agent,10,0,5,1,2,99,704,-50,Suburban,50
37,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,0,0,0,Online,22,0,5,1,2,99,726,-50,Urban,100
49,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2386,0,0,0,0,Online,28,0,4,4,1,99,772,-50,Urban,100
62,1,Married,86,>5 years,0,1,Low,50,Full Coverage,0,2336,0,0,0,0,Online,4,1,6,2,2,2,809,-50,Urban,100
36,0,Single,0,>5 years,0,2,Low,100,Full Coverage,0,2350,0,0,0,0,Agent,14,1,8,4,2,10,662,50,Suburban,50
36,0,Married,86,>5 years,0,0,Medium,0,Liability-Only,-200,1936,0,0,1,50,Online,13,1,4,1,1,7,729,-50,Rural,0
63,1,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,1,0,0,50,Online,2,1,5,1,2,1,795,-50,Urban,100
51,0,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2300,0,1,0,50,Online,1,0,3,0,2,99,639,50,Suburban,50
32,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,1936,0,1,0,50,Online,16,1,5,1,3,3,724,-50,Rural,0
48,0,Single,0,>5 years,0,1,High,200,Full Coverage,0,2350,1,0,0,50,Online,27,0,5,3,2,99,710,-50,Urban,100
33,0,Single,0,>5 years,0,1,Low,50,Liability-Only,-200,2050,0,1,0,50,Online,22,1,3,2,1,13,688,50,Suburban,50
33,0,Married,86,<1 year,100,1,Low,50,Liability-Only,-200,2236,0,0,0,0,Referral,16,1,3,1,3,6,659,50,Rural,0
43,0,Single,0,1-5 years,50,1,High,200,Liability-Only,-200,2200,0,1,0,50,Online,29,0,4,1,3,99,745,-50,Urban,100
18,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,1950,1,0,1,100,Online,22,1,7,0,3,9,777,-50,Suburban,50
18,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2386,1,0,0,50,Online,7,1,3,3,2,8,668,50,Suburban,50
31,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,0,1,0,50,Online,23,0,3,3,2,99,775,-50,Urban,100
24,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2300,0,0,0,0,Online,8,1,3,2,3,10,695,50,Suburban,50
44,0,Widowed,0,1-5 years,50,1,Low,50,Full Coverage,0,2250,1,0,0,50,Online,4,1,3,1,3,7,739,-50,Urban,100
26,0,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2250,1,0,0,50,Online,14,1,5,2,1,8,750,-50,Urban,100
18,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2136,1,1,0,100,Online,11,1,3,2,1,11,625,50,Urban,100
61,1,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2300,0,1,0,50,Online,25,1,6,4,2,5,698,50,Suburban,50
36,0,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2236,0,1,0,50,Agent,17,1,7,1,3,1,760,-50,Suburban,50
41,0,Single,0,>5 years,0,0,High,0,Full Coverage,0,2150,0,1,0,50,Online,1,1,9,3,1,3,749,-50,Urban,100
18,0,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2150,0,1,1,100,Online,17,0,3,1,2,99,723,-50,Suburban,50
31,0,Single,0,1-5 years,50,1,Low,50,Full Coverage,0,2300,0,0,0,0,Online,2,0,2,4,2,99,697,50,Rural,0
41,0,Divorced,0,>5 years,0,1,Medium,100,Liability-Only,-200,2200,0,0,0,0,Agent,18,1,9,2,2,11,676,50,Urban,100
22,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,2050,0,0,0,0,Agent,3,0,6,1,3,99,733,-50,Suburban,50
45,0,Single,0,>5 years,0,0,Medium,0,Full Coverage,0,2150,1,0,0,50,Agent,24,0,6,1,1,99,710,-50,Urban,100
30,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2286,0,0,0,0,Online,21,1,6,1,2,5,728,-50,Urban,100
35,0,Divorced,0,<1 year,100,0,High,0,Liability-Only,-200,2000,0,1,0,50,Agent,13,0,3,1,2,99,738,-50,Suburban,50
30,0,Widowed,0,1-5 years,50,0,Low,0,Full Coverage,0,2350,0,0,0,0,Agent,17,1,8,2,1,4,688,50,Urban,100
67,1,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2236,0,0,0,0,Agent,15,1,3,1,3,3,740,-50,Rural,0
39,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,0,1,50,Agent,27,0,5,2,2,99,706,-50,Urban,100
24,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2436,0,0,0,0,Online,26,0,4,2,1,99,690,50,Urban,100
52,0,Single,0,1-5 years,50,0,High,0,Full Coverage,0,2200,1,0,0,50,Online,28,0,4,2,1,99,701,-50,Urban,100
21,0,Single,0,1-5 years,50,0,High,0,Full Coverage,0,2350,0,0,0,0,Agent,3,1,7,2,2,6,648,50,Urban,100
43,0,Married,86,>5 years,0,0,Medium,0,Full Coverage,0,2186,0,0,0,0,Online,5,1,6,2,3,3,844,-50,Rural,0
18,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2250,0,0,0,0,Agent,30,0,4,3,2,99,670,50,Rural,0
20,0,Married,86,1-5 years,50,1,Medium,100,Liability-Only,-200,2186,0,1,0,50,Referral,25,1,3,2,3,3,718,-50,Urban,100
42,0,Single,0,>5 years,0,1,Low,50,Full Coverage,0,2100,1,1,0,100,Online,5,1,4,4,1,6,739,-50,Suburban,50
51,0,Married,86,>5 years,0,0,High,0,Full Coverage,0,2286,0,1,0,50,Agent,29,1,3,3,3,9,629,50,Suburban,50
42,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2036,0,1,0,50,Referral,6,0,4,4,2,99,735,-50,Urban,100
38,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2186,1,1,0,100,Online,16,1,2,2,1,3,850,-50,Rural,0
35,0,Married,86,1-5 years,50,1,Medium,100,Full Coverage,0,2386,0,0,0,0,Online,2,0,4,2,2,99,727,-50,Suburban,50
18,0,Single,0,1-5 years,50,1,Medium,100,Full Coverage,0,2400,0,1,0,50,Online,30,0,3,2,1,99,692,50,Urban,100
29,0,Single,0,1-5 years,50,1,Medium,100,Liability-Only,-200,2050,0,0,0,0,Online,6,0,4,5,1,99,764,-50,Rural,0
33,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2386,0,0,0,0,Agent,27,0,9,6,2,99,733,-50,Urban,100
55,1,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2236,0,1,0,50,Agent,13,1,3,0,2,1,745,-50,Suburban,50
45,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2186,1,0,0,50,Referral,5,0,6,1,3,99,650,50,Urban,100
18,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,2100,0,0,0,0,Online,20,0,3,2,1,99,721,-50,Urban,100
44,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,1950,1,1,0,100,Agent,26,1,8,2,1,9,748,-50,Urban,100
34,0,Married,86,<1 year,100,0,Medium,0,Liability-Only,-200,2086,0,0,1,50,Agent,25,0,3,3,1,99,761,-50,Suburban,50
29,0,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,2050,1,0,0,50,Online,24,1,8,1,2,5,668,50,Urban,100
49,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2286,1,1,0,100,Online,27,1,2,2,1,9,674,50,Urban,100
55,1,Widowed,0,1-5 years,50,0,Low,0,Liability-Only,-200,2150,0,0,0,0,Agent,30,0,8,4,3,99,670,50,Urban,100
